logo_url,url,title,company,location,tags,salary,deadline
https://merojob.com/media/cache/c2/84/c284e6bedc03c6a0c58a85a4f8b06042.jpg,https://merojob.com/it-manager-84/,IT Manager,Millsberry School,"Bansbari, Kathmandu","['Communication', 'Time Management', 'Analytical', 'Interpersonal Skills', 'Microsoft Office Suite']",,"1 week, 2 days"
https://merojob.com/media/cache/ed/31/ed312e06aded6b98f2adae56eb4b8ac9.jpg,https://merojob.com/medior-net-developer-3/,Medior .NET Developer,ByProxy Nepal (Blinqlab),"Lalitpur, Nepal",[],,"1 week, 1 day"
https://merojob.com/media/cache/49/75/49754debbafffdaa727349fd4122aaec.jpg,https://merojob.com/backend-developer-python-26/,Backend Developer (Python),Tekvortex,"Jhamsikhel, Lalitpur","['Python', 'Dynamodb', 'Aws Lambda', 'Rds (Mysql)', 'Nosql Database Systems']",,"1 week, 1 day"
https://merojob.com/media/cache/60/68/6068e6776462239b98704756e2f57573.jpg,https://merojob.com/aspnet-4/,Asp. Net Developer,Exotrac,Old Baneshwor,"['Html', 'Css', 'Javascript']",,"2 weeks, 3 days"
https://merojob.com/media/cache/3c/9a/3c9a940a65a94c7a5b8be03b6442f0a5.jpg,https://merojob.com/web-designer-and-developer-8/,Senior Laravel Web Developer and Designer,SabKura.com,"New Baneshwor, Kathmandu, Nepal","['Html', 'Css', 'Javascript', 'Wordpress', 'Vue Js']",,"6 days, 23 hours"
https://merojob.com/media/cache/e2/3f/e23ffcbb10d2dc256ebcebd7726522df.jpg,https://merojob.com/senior-phpwordpress-developer-2/,Senior PHP/WordPress Developer,Tech Central,Kathmandu,"['Php', 'Html', 'Css', 'Javascript']",,"1 week, 5 days"
https://merojob.com/media/cache/69/56/69564da4a0d0bbddfc58187696cdca2e.jpg,https://merojob.com/senior-quality-assurance-engineer-26/,Senior Quality Assurance Engineer,Logpoint Nepal,"Jawalakhel ,Lalitpur","['Communication', 'Java', 'Sql', 'Python Scripting', 'Linux Operating System']",,"2 weeks, 2 days"
https://merojob.com/media/cache/57/11/57110eaffb8a01a86cfa2d93666ec014.jpg,https://merojob.com/technical-writer-customer-success-support-4/,Technical Writer (Customer Success Support),Logpoint Nepal,"Jawalakhel ,Lalitpur","['Communication', 'Linux', 'Analytical Skills', 'Networking Skills', 'Technical Writing']",,"2 weeks, 2 days"
https://merojob.com/media/cache/3d/38/3d38162ddd556e43bc834bc37c3de9fe.jpg,https://merojob.com/wordpress-developer-277/,WordPress Developer,Sterling Wells,"Tinkune, Kathmandu","['Problem Solving', 'Time Management', 'Databases', 'Source Control']",,"6 days, 23 hours"
https://merojob.com/media/cache/35/08/3508a8093f98a8c546c2aa3f8de9bc33.jpg,https://merojob.com/full-stack-developer-144/,Python Developer,Merojob,"Kathmandu, Nepal","['Python', 'Js', 'Vue', 'Django Framework', 'Nuxt', 'Tailwind']",,"1 week, 5 days"
https://merojob.com/media/cache/d6/49/d649d224063f276dd2620c358f7af3d1.jpg,https://merojob.com/siem-engineer/,SIEM Engineer,Vairav Technology,Kathmandu,[],,"3 days, 23 hours"
https://merojob.com/media/cache/62/76/6276c93f47001e06b1a20506102d3767.jpg,https://merojob.com/full-stack-software-engineer-node-js/,Full Stack Software Engineer ( Node Js ),Vairav Technology,Kathmandu,[],,"3 days, 23 hours"
https://merojob.com/media/cache/e2/0c/e20c3a8a9835b6f852b850a6c97eebfa.jpg,https://merojob.com/data-production-trainee/,Data Production Trainee,Cedar Gate Services,"Kathmandu, Nepal","['Communication Skills', 'Linux Os', 'Sql Databases']",,"4 days, 23 hours"
https://merojob.com/media/cache/19/b8/19b847aa6f1f4af9314b2d24c4e25d33.jpg,https://merojob.com/engineering-manager-27/,Engineering Manager,Logpoint Nepal,"Jawalakhel ,Lalitpur","['Communication', 'Negotiation', 'Team Management', 'Leadership Skills']",,"1 week, 5 days"
https://merojob.com/media/cache/75/32/75325cf223382b7e32cb6914eaf49610.jpg,https://merojob.com/it-and-development-manager/,IT and Development Manager,Hydroplan,Kathmandu,"['Management', 'Communication', 'Analytical', 'Interpersonal Skills', 'Verbal Communication']",,"1 day, 23 hours"
https://merojob.com/media/cache/3d/4f/3d4f0ff74cb11171b02631af9a300e03.jpg,https://merojob.com/linux-ninja-wanted-excellent-writer/,Linux Ninja Wanted ( Excellent Writer),Tech Central,"Kathmandu, Nepal","['Communication', 'Problem Solving', 'Linux', 'Troubleshooting']",,"4 weeks, 1 day"
https://merojob.com/media/cache/9e/df/9edf5b4cfa2d7cae77e28395b7188001.jpg,https://merojob.com/associate-software-engineer-java-react/,Associate Software Engineer (Java/ React),Cedar Gate Services,"Kathmandu, Nepal",[],,"4 days, 23 hours"
https://merojob.com/media/cache/a9/d0/a9d0437c95988530316f7bcdcd0efc4c.jpg,https://merojob.com/it-assistant-trainee-6/,IT Assistant Trainee,Nepal Digital Payments Company Limited,Kathmandu,"['Linux', 'Networking', 'Scripting Language', 'Unix']",,"4 days, 23 hours"
https://merojob.com/media/cache/93/af/93afd1a5ef08665cb7b52cd2a1d00e6a.jpg,https://merojob.com/software-developer-full-stack-2/,Software Developer - Full Stack,RV LIFE,Remote,"['Php', 'Javascript']",,"1 week, 2 days"
https://merojob.com/media/cache/f4/d8/f4d878b3cb38e5fc890a9e63cf58475c.jpg,https://merojob.com/java-developer-210/,Java Developer,Smart Data Solution,Lalitpur,"['Css', 'Javascript', 'Jquery', 'Core Java', 'J2Ee']",,23 hours
https://merojob.com/media/cache/a1/19/a119842665552dcbb695f5203e8aed7c.jpg,https://merojob.com/web-application-developer-13/,Web Application Developer,Smart Data Solution,Lalitpur,[],,23 hours
https://merojob.com/media/cache/bc/97/bc971b9b24d8b38b375020ac3a9ce96d.jpg,https://merojob.com/head-of-engineering-3/,Head of Engineering,Codavatar,Kathmandu,[],,"4 days, 23 hours"
https://merojob.com/media/cache/1b/63/1b63574f9968bace5e1cee17065c0049.jpg,https://merojob.com/sales-head-42/,Head of Sales,Codavatar,Kathmandu,[],,"4 days, 23 hours"
https://merojob.com/media/cache/54/88/54882f9ae79ed21685a234673a9d7163.jpg,https://merojob.com/marketing-head-42/,Head of Marketing,Codavatar,Kathmandu,[],,"4 days, 23 hours"
